0,1,2,3
1.45,-6.08,3.67,0.26394
6.69,-5.65,11.42,-0.79181
-0.32,6.12,0.08,-0.26394
1.14,9.96,-1.69,-0.26394
0.84,6.42,5.69,-0.26394
-1.48,10.57,-3.28,-0.26394
-3.37,6.97,-8.34,0.26394
-0.69,3.13,-3.89,-0.26394
-4.83,4.53,0.69,0.00000
-4.04,6.00,-6.45,0.52787
-1.54,1.42,-2.06,0.26394
-2.15,-7.66,-8.10,-0.79181
2.12,-9.00,6.42,-0.26394
-0.38,-5.59,7.76,-0.79181
2.97,-3.15,6.78,-0.26394
-2.21,12.52,-0.66,-1.58361
-2.52,5.02,-5.60,-0.79181
-8.00,2.95,-8.22,0.79181
-0.69,7.52,-5.53,-0.26394
-1.24,4.59,-7.49,-1.05574
-2.15,3.13,-2.36,0.26394
-1.91,-1.99,-2.61,0.26394
-1.05,-14.49,-3.10,0.00000
7.06,-14.92,4.95,-1.05574
6.75,-11.08,9.40,-0.52787
0.47,-6.02,7.33,-0.26394
6.14,1.54,1.48,0.52787
-11.79,17.64,-10.11,0.79181
1.32,8.80,-0.23,-0.52787
-3.13,10.26,-3.77,0.26394
-3.68,7.28,-5.66,-0.26394
-2.33,2.82,-1.33,0.52787
-0.99,2.09,-3.77,0.00000
-0.93,2.34,-0.60,-1.31968
-7.46,2.46,-12.06,0.52787
-3.19,2.58,-4.44,0.26394
-2.88,-5.96,0.20,0.26394
6.75,-16.02,17.58,-0.52787
1.87,-8.88,5.93,-0.52787
5.59,-7.05,7.09,0.00000
11.45,-17.05,19.77,1.31968
-3.13,-9.43,1.36,0.52787
1.87,-5.47,5.38,-0.26394
4.07,-7.18,4.89,1.58361
2.48,-4.80,10.26,1.31968
1.69,-6.93,5.44,0.00000
4.25,3.92,-3.03,-0.52787
0.84,8.50,-2.79,0.26394
-0.02,7.03,5.69,-0.79181
-3.31,11.54,-4.56,0.00000
-7.46,12.09,-14.56,0.26394
3.89,3.19,-5.90,-0.52787
-0.75,-3.46,0.69,-0.52787
4.13,-11.69,8.31,0.52787
1.02,-10.04,1.36,0.26394
5.23,-14.25,2.70,-0.26394
2.97,-7.66,6.23,0.52787
0.04,-5.71,2.94,1.84755
1.75,12.03,-2.67,0.00000
-4.59,8.62,-2.55,0.79181
-5.69,7.46,-7.67,0.52787
-11.85,7.03,-11.14,1.05574
-0.81,4.53,-1.94,0.00000
0.90,-9.07,1.90,1.31968
5.96,-13.27,9.95,-0.26394
6.51,-12.42,3.12,0.52787
1.08,-8.64,6.54,-0.26394
0.78,-6.50,8.92,0.00000
5.23,3.13,-2.42,-0.52787
-1.72,10.93,0.26,0.26394
8.52,9.23,-1.20,-1.84755
-4.04,12.58,-2.06,-1.31968
-2.58,7.03,-3.52,0.79181
-0.99,0.69,-6.94,-0.26394
-0.87,6.06,-1.45,0.26394
-1.05,6.18,-5.53,0.00000
4.07,4.71,1.72,0.52787
-3.80,0.32,-2.24,-0.52787
-2.33,-0.71,-2.06,0.26394
0.71,-8.15,2.03,0.79181
-4.96,9.41,-6.75,-0.79181
-3.43,9.35,-7.67,2.37542
-2.64,7.76,-2.67,1.05574
-1.05,12.46,-3.77,0.52787
2.60,9.96,3.00,-1.05574
-0.75,-6.08,5.69,0.52787
-1.91,-6.99,-1.94,1.58361
9.74,-11.87,9.83,0.00000
-2.76,0.63,-1.08,0.00000
0.84,-3.76,1.11,0.26394
-0.20,9.90,-11.33,0.52787
-1.48,5.81,-8.28,0.52787
-1.79,2.46,-3.22,-0.79181
-0.20,3.07,-2.18,-0.79181
-5.14,0.63,-5.66,-0.26394
-0.26,3.98,-5.96,-0.26394
-7.03,10.57,-13.83,-1.05574
0.04,10.63,-0.96,-0.79181
0.84,4.96,-4.19,-1.05574
-3.68,5.93,-8.10,-0.52787
4.13,8.62,-5.53,0.00000
-1.60,5.39,-8.52,-0.26394
-4.53,-6.93,-0.90,-0.79181
-5.57,-8.21,-10.17,0.79181
-2.03,-8.94,4.28,-0.26394
-3.13,-7.60,1.30,0.00000
-3.80,-0.35,-5.47,-1.05574
-2.94,-5.16,0.50,0.00000
-2.82,-6.14,-0.53,-0.52787
3.95,-2.11,-5.17,-0.79181
1.45,-15.47,12.70,-0.26394
-1.42,-6.20,5.01,0.52787
1.87,-10.29,1.66,-0.52787
5.84,-8.76,1.11,0.00000
5.71,-5.71,3.86,-0.79181
0.90,-1.14,8.49,-0.79181
-5.02,-6.69,-1.57,0.00000
2.12,-7.85,7.76,0.00000
0.96,-3.27,5.38,0.79181
8.64,-1.02,-2.85,0.26394
