0
"['-1.05574', '28.00']"
"['', '28.00']"
"['1.77', '-2.41', '-0.29', '4.97070', '-0.79181', '28.00']"
"['0.97', '-0.22', '-3.88', '4.99023', '-0.26394', '28.00']"
"['3.41', '-5.16', '5.81', '5.00000', '0.00000', '28.00']"
"['4.20', '-3.63', '7.34', '4.97070', '-0.79181', '28.00']"
"['2.56', '-2.96', '4.10', '4.93164', '-1.84755', '28.00']"
"['3.53', '-6.19', '0.51', '4.97070', '-0.79181', '28.00']"
"['6.10', '-9.67', '4.23', '4.99023', '-0.26394', '28.00']"
"['3.35', '-8.51', '7.46', '4.93164', '-1.84755', '28.00']"
"['-1.71', '3.99', '0.57', '5.00000', '0.00000', '28.00']"
"['-2.93', '2.46', '-2.18', '4.97070', '-0.79181', '28.00']"
"['-1.59', '8.75', '-5.41', '5.00977', '0.26394', '28.00']"
"['-1.47', '0.70', '-4.92', '5.00000', '0.00000', '28.00']"
"['-2.14', '3.14', '-1.75', '5.04883', '1.31968', '28.00']"
"['-4.39', '-0.04', '-6.63', '4.95117', '-1.31968', '28.00']"
"['-2.69', '8.38', '-1.32', '5.00977', '0.26394', '28.00']"
"['-2.44', '3.99', '-2.85', '4.98047', '-0.52787', '28.00']"
"['2.44', '-4.85', '2.70', '4.97070', '-0.79181', '28.00']"
"['1.95', '0.51', '-1.20', '4.96094', '-1.05574', '28.00']"
"['-0.61', '3.81', '-1.45', '4.98047', '-0.52787', '28.00']"
"['3.47', '-5.22', '2.27', '5.00000', '0.00000', '28.00']"
"['2.50', '-2.66', '4.29', '4.99023', '-0.26394', '28.00']"
"['2.86', '2.34', '4.59', '4.98047', '-0.52787', '28.00']"
"['4.45', '-3.51', '2.34', '4.96094', '-1.05574', '28.00']"
"['3.72', '-5.95', '2.40', '4.97070', '-0.79181', '28.00']"
"['4.69', '-7.23', '7.03', '4.99023', '-0.26394', '28.00']"
"['1.58', '-3.57', '4.90', '5.00000', '0.00000', '28.00']"
"['-1.34', '0.64', '-1.87', '4.96094', '-1.05574', '28.00']"
"['-1.65', '1.85', '-1.75', '4.99023', '-0.26394', '28.00']"
"['-1.89', '4.66', '-3.70', '5.01953', '0.52787', '28.00']"
"['-2.32', '2.83', '-4.43', '4.97070', '-0.79181', '28.00']"
"['-6.71', '11.92', '-6.38', '4.97070', '-0.79181', '28.00']"
"['-5.49', '6.73', '-8.15', '5.00977', '0.26394', '28.00']"
"['-4.03', '6.31', '-2.66', '4.96094', '-1.05574', '28.00']"
"['-2.26', '-0.58', '-7.05', '4.97070', '-0.79181', '28.00']"
"['-2.99', '7.22', '-2.54', '5.01953', '0.52787', '28.00']"
"['1.22', '0.64', '-3.15', '4.95117', '-1.31968', '28.00']"
"['0.55', '-2.72', '4.35', '5.00977', '0.26394', '28.00']"
"['3.84', '-10.71', '4.65', '5.02930', '0.79181', '28.00']"
"['2.68', '-4.18', '0.81', '5.02930', '0.79181', '28.00']"
"['4.51', '-7.84', '5.63', '5.00000', '0.00000', '28.00']"
"['3.78', '-2.35', '4.65', '4.96094', '-1.05574', '28.00']"
"['4.63', '-8.02', '2.40', '4.98047', '-0.52787', '28.00']"
"['0.97', '-3.69', '-1.81', '4.96094', '-1.05574', '28.00']"
"['1.70', '-6.62', '-0.59', '4.98047', '-0.52787', '28.00']"
"['-0.19', '-1.80', '-2.24', '4.98047', '-0.52787', '28.00']"
"['-2.75', '1.31', '2.15', '4.95117', '-1.31968', '28.00']"
"['-2.44', '5.64', '-2.66', '4.92187', '-2.11149', '28.00']"
"['-2.81', '2.16', '-3.76', '4.97070', '-0.79181', '28.00']"
"['-0.67', '0.64', '-2.36', '4.99023', '-0.26394', '28.00']"
"['-3.05', '6.98', '-2.42', '5.00977', '0.26394', '28.00']"
"['-4.27', '7.95', '-2.73', '4.99023', '-0.26394', '28.00']"
"['-3.60', '13.81', '-7.54', '4.96094', '-1.05574', '28.00']"
"['-0.86', '1.92', '-3.88', '4.96094', '-1.05574', '28.00']"
"['-0.67', '0.88', '-2.05', '4.96094', '-1.05574', '28.00']"
"['2.56', '-0.46', '4.23', '4.98047', '-0.52787', '28.00']"
"['1.03', '0.21', '2.40', '4.96094', '-1.05574', '28.00']"
"['3.66', '-7.05', '3.43', '4.97070', '-0.79181', '28.00']"
"['8.90', '-11.99', '15.51', '4.96094', '-1.05574', '28.00']"
"['4.69', '-8.63', '3.62', '5.00977', '0.26394', '28.00']"
"['4.45', '-6.68', '4.65', '4.98047', '-0.52787', '28.00']"
"['2.50', '-8.33', '-2.36', '5.01953', '0.52787', '28.00']"
"['4.81', '-7.60', '3.74', '5.02930', '0.79181', '28.00']"
"['2.50', '-4.85', '-0.35', '5.00977', '0.26394', '28.00']"
"['-1.40', '-4.79', '-6.51', '5.00977', '0.26394', '28.00']"
"['-1.10', '1.49', '0.57', '4.96094', '-1.05574', '28.00']"
"['-1.59', '0.76', '0.32', '4.98047', '-0.52787', '28.00']"
"['-5.19', '3.50', '-5.23', '4.95117', '-1.31968', '28.00']"
"['-2.75', '3.99', '-6.26', '4.99023', '-0.26394', '28.00']"
"['0.06', '0.21', '-1.87', '5.01953', '0.52787', '28.00']"
"['-2.50', '7.77', '-1.93', '4.99023', '-0.26394', '28.00']"
"['-4.27', '5.33', '-7.48', '5.00000', '0.00000', '28.00']"
"['-2.93', '7.40', '-7.42', '5.01953', '0.52787', '28.00']"
"['-3.78', '9.17', '3.86', '5.00977', '0.26394', '28.00']"
"['-3.66', '8.62', '-1.51', '4.99023', '-0.26394', '28.00']"
"['-3.84', '8.87', '-3.95', '4.99023', '-0.26394', '28.00']"
"['-1.28', '5.57', '0.57', '5.00977', '0.26394', '28.00']"
"['-0.67', '2.22', '-2.24', '4.95117', '-1.31968', '28.00']"
"['-0.80', '4.54', '0.75', '4.96094', '-1.05574', '28.00']"
"['2.31', '-2.66', '-0.53', '4.99023', '-0.26394', '28.00']"
"['2.86', '-2.05', '-0.16', '4.99023', '-0.26394', '28.00']"
"['0.91', '1.73', '6.79', '4.98047', '-0.52787', '28.00']"
"['3.47', '-4.24', '0.45', '5.01953', '0.52787', '28.00']"
"['4.51', '-7.05', '4.35', '4.99023', '-0.26394', '28.00']"
"['3.90', '-9.30', '4.35', '5.00000', '0.00000', '28.00']"
"['4.39', '-7.66', '6.48', '4.99023', '-0.26394', '28.00']"
"['3.05', '-4.55', '3.98', '4.98047', '-0.52787', '28.00']"
"['5.24', '-10.58', '8.31', '4.97070', '-0.79181', '28.00']"
"['4.27', '-6.93', '8.43', '5.00000', '0.00000', '28.00']"
"['2.99', '-7.35', '-0.23', '4.98047', '-0.52787', '28.00']"
"['5.12', '-11.62', '3.13', '4.98047', '-0.52787', '28.00']"
"['0.85', '-2.72', '-3.76', '4.97070', '-0.79181', '28.00']"
"['1.40', '-3.21', '0.26', '5.01953', '0.52787', '28.00']"
"['-2.69', '-2.54', '-8.27', '4.98047', '-0.52787', '28.00']"
"['-3.60', '3.87', '-2.91', '4.96094', '-1.05574', '28.00']"
"['-3.23', '3.44', '-2.18', '4.96094', '-1.05574', '28.00']"
"['-1.10', '7.28', '-2.05', '5.00977', '0.26394', '28.00']"
"['-1.22', '0.64', '-5.41', '4.99023', '-0.26394', '28.00']"
"['-2.69', '3.93', '-4.55', '4.94141', '-1.58361', '28.00']"
"['-2.20', '4.84', '-3.52', '4.97070', '-0.79181', '28.00']"
"['-5.00', '9.66', '-4.62', '4.99023', '-0.26394', '28.00']"
"['-4.15', '7.53', '-4.19', '4.95117', '-1.31968', '28.00']"
"['-4.27', '8.07', '2.52', '4.98047', '-0.52787', '28.00']"
"['-2.20', '8.01', '-2.79', '4.99023', '-0.26394', '28.00']"
"['-4.27', '6.92', '-1.45', '4.94141', '-1.58361', '28.00']"
"['-1.40', '3.93', '-4.19', '4.99023', '-0.26394', '28.00']"
"['-0.92', '2.53', '-2.48', '4.97070', '-0.79181', '28.00']"
"['3.47', '-1.80', '-0.71', '5.00000', '0.00000', '28.00']"
"['0.06', '2.04', '-9.37', '4.96094', '-1.05574', '28.00']"
