,x-axis,y-axis,z-axis,voltage,current,temperature
226,1.18,-0.55,-0.81,2568.359,3695.101,32
227,-2.97,2.74,-5.81,2597.656,5278.716,32
228,-2.97,4.2,-0.02,2607.422,5806.588,32
229,3.8,-9.7,2.42,2568.359,3695.101,32
230,3.07,-5.31,4.13,2573.242,3959.037,32
231,-2.42,8.05,-0.08,2583.008,4486.909,32
232,-1.57,1.34,-4.71,2578.125,4222.973,32
233,-0.04,1.15,2.91,2573.242,3959.037,32
234,4.65,-7.99,3.88,2583.008,4486.909,32
235,1.18,-3.24,-0.63,2558.594,3167.229,32
236,-2.12,1.76,2.6,2597.656,5278.716,32
237,-2.91,2.13,-3.37,2602.539,5542.652,32
238,4.83,-16.28,4.19,2578.125,4222.973,32
239,3.31,-6.53,11.14,2607.422,5806.588,32
240,-0.04,3.23,-1.73,2578.125,4222.973,32
241,-3.95,2.92,-6.6,2578.125,4222.973,32
242,3.13,-8.17,4.61,2622.07,6598.395,32
243,6.42,-2.69,9,2573.242,3959.037,32
244,-2.36,1.7,-3.31,2583.008,4486.909,32
245,-1.45,0.61,-1.6,2592.773,5014.78,32
246,-1.32,3.53,-0.69,2597.656,5278.716,32
247,1.6,-6.1,2.48,2587.891,4750.845,32
248,4.41,-4.82,7.66,2583.008,4486.909,32
249,0.2,1.83,-0.32,2587.891,4750.845,32
250,-0.17,-5.06,-4.29,2597.656,5278.716,32
251,-2.18,6.22,0.1,2587.891,4750.845,32
252,3.25,-1.89,4.43,2568.359,3695.101,32
253,3.49,-8.36,4.13,2587.891,4750.845,32
254,-0.41,2.44,0.77,2573.242,3959.037,32
255,-4.01,8.23,-3.68,2578.125,4222.973,32
256,-5.35,11.4,-8.25,2597.656,5278.716,32
257,1.36,-6.47,1.14,2583.008,4486.909,32
258,2.52,-1.35,4.68,2578.125,4222.973,32
259,-1.45,2.19,-7.28,2578.125,4222.973,32
260,-3.15,1.52,-4.04,2587.891,4750.845,32
261,-1.57,-1.41,-2.34,2568.359,3695.101,32
262,4.35,-8.42,3.76,2587.891,4750.845,32
263,1.11,1.15,3.76,2587.891,4750.845,32
264,-0.84,1.64,-1.06,2583.008,4486.909,32
265,-6.32,13.04,-9.23,2592.773,5014.78,32
266,-2,2.74,-5.57,2583.008,4486.909,32
267,1.48,-6.28,2.18,2597.656,5278.716,32
268,4.04,-1.71,1.38,2568.359,3695.101,32
269,1.66,5.61,-0.45,2568.359,3695.101,32
270,0.32,-3.66,-1,2587.891,4750.845,32
271,-2.3,1.34,-5.14,2563.477,3431.166,32
272,0.99,-5.49,0.35,2583.008,4486.909,32
273,0.5,-2.5,6.99,2592.773,5014.78,32
274,1.3,-4.94,0.9,2583.008,4486.909,32
275,-5.29,9.81,-5.51,2587.891,4750.845,32
276,0.69,-0.61,1.08,2597.656,5278.716,32
277,2.03,-9.21,1.44,2592.773,5014.78,32
278,4.71,-1.1,7.6,2573.242,3959.037,32
279,1.42,-4.33,4.92,2597.656,5278.716,32
280,-0.47,1.95,-0.45,2592.773,5014.78,32
281,-2,1.89,-4.29,2578.125,4222.973,32
282,4.29,-5.67,5.35,2597.656,5278.716,32
283,4.47,-4.88,4.74,2573.242,3959.037,32
284,2.76,-7.14,1.75,2573.242,3959.037,32
285,1.66,4.39,1.2,2558.594,3167.229,32
286,-3.21,4.08,-4.47,2583.008,4486.909,32
287,2.21,-7.81,3.15,2553.711,2903.294,32
