x-axis,y-axis,z-axis,voltage,current,temp
5.09,-5.21,4.09,5.13672,3.6951,24
1.74,-3.26,7.02,5.10742,2.90329,24
0.52,-5.64,-0.3,5.10742,2.90329,24
-0.76,2.05,0.19,5.10742,2.90329,24
3.87,0.34,0.61,5.12695,3.43117,24
0.95,0.1,2.08,5.11719,3.16723,24
-1.92,0.46,-3.17,5.15625,4.22297,24
-0.7,4.55,-0.91,5.13672,3.6951,24
-0.64,5.7,-2.25,5.11719,3.16723,24
-1.49,4.97,1.65,5.11719,3.16723,24
-1.92,6.62,-3.29,5.10742,2.90329,24
-4.6,11.31,-2.86,5.09766,2.63936,24
-7.77,15.09,-8.78,5.10742,2.90329,24
-3.69,7.78,-5.48,5.08789,2.37542,24
-5.76,12.23,-4.2,5.10742,2.90329,24
-2.95,7.29,-0.91,5.12695,3.43117,24
-0.58,5.4,-4.32,5.09766,2.63936,24
-2.59,6.68,-7.68,5.06836,1.84755,24
-7.1,9.12,-7.07,5.15625,4.22297,24
-4.05,11.92,-5.79,5.12695,3.43117,24
1.01,0.58,0.86,5.10742,2.90329,24
1.25,-3.99,1.65,5.18555,5.01478,24
1.07,-0.88,-0.54,5.14648,3.95904,24
0.4,-0.39,1.22,5.15625,4.22297,24
1.68,-4.72,-0.79,5.14648,3.95904,24
-1,5.16,-2.62,5.09766,2.63936,24
0.46,0.4,1.1,5.12695,3.43117,24
0.4,-4.84,4.58,5.14648,3.95904,24
1.37,-4.17,7.44,5.11719,3.16723,24
1.31,-4.17,3.97,5.15625,4.22297,24
2.11,-2.65,1.59,5.16602,4.48691,24
0.83,-8.01,-5.24,5.18555,5.01478,24
0.22,4.49,1.47,5.10742,2.90329,24
2.23,-7.22,-0.24,5.19531,5.27872,24
3.57,-2.71,3.48,5.15625,4.22297,24
4.18,-4.84,5.98,5.15625,4.22297,24
2.65,-8.26,4.27,5.12695,3.43117,24
1.5,-3.69,0,5.11719,3.16723,24
-0.94,4.24,-1.95,5.15625,4.22297,24
-0.09,-2.65,0.37,5.13672,3.6951,24
4.97,-7.16,6.83,5.16602,4.48691,24
1.56,-7.77,2.63,5.15625,4.22297,24
3.63,-11.67,7.99,5.10742,2.90329,24
1.13,-6.73,1.53,5.07812,2.11149,24
-3.63,8.27,-6.7,5.04883,1.31968,24
-5.45,11.01,-2.86,5.03906,1.05574,24
-4.97,9.06,-8.17,5.04883,1.31968,24
1.07,-0.33,-0.91,5.05859,1.58361,24
0.22,4.55,0.92,5.07812,2.11149,24
-0.03,2.84,-0.24,5.00977,0.26394,24
-0.09,4.06,0.31,5.04883,1.31968,24
-6.06,8.75,-8.47,5.05859,1.58361,24
-3.2,10.03,-5.97,5.08789,2.37542,24
-6.43,15.28,-4.75,5.11719,3.16723,25
-3.69,9.85,1.22,5.0293,0.79181,24
-2.41,4.49,-2.25,5.09766,2.63936,24
-3.75,6.44,-2.13,5.09766,2.63936,24
-8.32,19.36,-14.63,5.05859,1.58361,25
-3.81,6.07,-1.21,5.05859,1.58361,25
-1.19,3.39,-0.3,5.07812,2.11149,25
0.83,3.75,1.41,5.03906,1.05574,25
-5.76,12.35,-5.91,5.04883,1.31968,25
-0.33,1.38,-0.73,5.00977,0.26394,25
-0.88,5.46,-0.79,5.07812,2.11149,25
-1.25,7.29,-4.02,5.05859,1.58361,25
4.61,-4.3,4.27,5.14648,3.95904,25
5.28,-9.17,2.14,5.05859,1.58361,25
-0.27,1.86,4.15,5.04883,1.31968,25
-5.58,12.35,-7.56,5.08789,2.37542,25
-1,1.31,0.8,5.05859,1.58361,25
0.58,-0.33,1.77,5.06836,1.84755,25
1.5,3.39,0.07,5.04883,1.31968,25
2.96,-0.88,0.07,5.07812,2.11149,25
4.73,-14.23,2.08,5.05859,1.58361,25
-0.64,1.13,1.29,5.08789,2.37542,25
-0.52,4.79,1.41,5.06836,1.84755,25
-2.28,6.25,-4.69,5.12695,3.43117,25
-1,9.91,0.68,5.08789,2.37542,25
2.41,-4.3,0.19,5.07812,2.11149,25
3.57,-5.39,2.38,5.08789,2.37542,25
1.98,-4.97,2.38,5.12695,3.43117,25
-1,6.99,-2.62,5.07812,2.11149,25
0.03,0.77,-1.03,5.15625,4.22297,25
0.34,3.33,3.91,5.08789,2.37542,25
0.4,2.05,0.8,5.09766,2.63936,25
2.65,-4.11,5.07,5.16602,4.48691,25
5.83,-7.95,5.68,5.09766,2.63936,25
3.39,-15.03,10.13,5.11719,3.16723,25
-3.14,9.97,-6.15,5.13672,3.6951,25
-0.52,4.3,1.04,5.12695,3.43117,25
-2.95,10.03,-2.37,5.11719,3.16723,25
1.37,-5.09,8.24,5.15625,4.22297,25
1.31,-0.33,1.96,5.14648,3.95904,25
4.97,-10.76,6.47,5.14648,3.95904,25
-3.08,10.7,-1.28,5.11719,3.16723,25
-0.15,1.13,1.16,5.10742,2.90329,25
-1.37,9.97,0.43,5.13672,3.6951,25
2.72,0.83,0.49,5.11719,3.16723,25
1.62,0.28,1.35,5.10742,2.90329,25
3.69,-7.83,2.63,5.10742,2.90329,25
2.23,-3.93,4.4,5.14648,3.95904,25
4.73,-4.84,6.04,5.08789,2.37542,25
-1.92,-0.33,8.54,5.11719,3.16723,25
2.29,-1.06,1.59,5.09766,2.63936,25
6.19,-2.71,8.6,5.09766,2.63936,25
0.83,-6.92,3.18,5.14648,3.95904,25
-4.36,0.7,-2.86,5.16602,4.48691,25
3.08,-6,4.03,5.11719,3.16723,25
2.35,-3.87,5.13,5.11719,3.16723,25
3.69,-7.83,4.82,5.13672,3.6951,25
3.2,-0.94,6.41,5.15625,4.22297,25
1.92,0.03,0.25,5.12695,3.43117,25
-1.98,2.9,-3.65,5.11719,3.16723,25
-3.38,6.13,-9.93,5.13672,3.6951,25
1.37,-7.53,2.02,5.16602,4.48691,25
1.07,-6.86,-0.85,5.17578,4.75084,25
0.95,0.77,0.8,5.10742,2.90329,25
2.29,-12.4,-0.12,5.17578,4.75084,25
-2.47,5.16,-0.06,5.09766,2.63936,25
-5.27,9.55,-6.15,5.14648,3.95904,25
-5.52,10.1,-9.57,5.15625,4.22297,25
-2.41,2.23,-5.73,5.16602,4.48691,25
-1.8,3.94,-1.21,5.11719,3.16723,25
0.15,4.91,0.19,5.09766,2.63936,25
0.28,3.88,3.72,5.10742,2.90329,25
-3.87,7.66,-6.7,5.13672,3.6951,25
-6.13,5.64,-6.89,5.09766,2.63936,25
-4.97,9.3,-6.58,5.09766,2.63936,25
-4.66,7.47,-2.19,5.09766,2.63936,25
-1.92,7.41,-1.09,5.07812,2.11149,25
-1.25,5.03,2.5,5.11719,3.16723,25
-1.98,8.14,-2.19,5.11719,3.16723,25
-5.88,23.02,-14.75,5.17578,4.75084,25
-2.71,5.64,-4.2,5.13672,3.6951,25
