0
"['', '4.93164', '-1.84755', '24.00']"
"['4.24', '9.96', '-0.75', '4.86328', '-3.69510', '24.00']"
"['-9.91', '-13.15', '-1.66', '4.86328', '-3.69510', '24.00']"
"['6.62', '9.65', '-1.54', '4.89258', '-2.90329', '24.00']"
"['-5.15', '0.39', '-0.08', '4.92187', '-2.11149', '24.00']"
"['3.02', '0.87', '-1.66', '4.88281', '-3.16723', '24.00']"
"['-1.25', '4.11', '2.18', '4.97070', '-0.79181', '24.00']"
"['4.05', '2.46', '-0.38', '4.90234', '-2.63936', '24.00']"
"['-2.59', '2.52', '0.84', '4.87305', '-3.43117', '24.00']"
"['4.24', '4.90', '4.80', '4.88281', '-3.16723', '24.00']"
"['-1.43', '-0.95', '2.12', '4.88281', '-3.16723', '24.00']"
"['-3.26', '-6.50', '1.38', '4.87305', '-3.43117', '24.00']"
"['-2.23', '-6.56', '-3.25', '4.88281', '-3.16723', '24.00']"
"['2.84', '0.33', '-0.20', '4.88281', '-3.16723', '24.00']"
"['5.27', '4.23', '-2.09', '4.92187', '-2.11149', '24.00']"
"['7.71', '16.48', '3.58', '4.89258', '-2.90329', '24.00']"
"['2.16', '6.00', '1.02', '4.90234', '-2.63936', '24.00']"
"['-2.59', '-4.55', '1.69', '4.85352', '-3.95904', '24.00']"
"['-3.93', '-4.13', '0.84', '4.89258', '-2.90329', '24.00']"
"['4.42', '1.36', '1.08', '4.86328', '-3.69510', '24.00']"
"['2.16', '5.94', '0.96', '4.92187', '-2.11149', '24.00']"
"['2.71', '4.59', '-0.32', '4.87305', '-3.43117', '24.00']"
"['-0.70', '-0.10', '-2.82', '4.86328', '-3.69510', '24.00']"
"['-3.93', '0.33', '0.71', '4.89258', '-2.90329', '24.00']"
"['-3.75', '-5.16', '4.31', '4.88281', '-3.16723', '24.00']"
"['0.03', '-8.09', '3.40', '4.85352', '-3.95904', '24.00']"
"['0.88', '3.01', '0.10', '4.91211', '-2.37542', '24.00']"
"['0.52', '3.01', '1.57', '4.87305', '-3.43117', '24.00']"
"['-9.66', '-12.36', '-2.46', '4.84375', '-4.22297', '24.00']"
"['-3.99', '-7.66', '-3.49', '4.86328', '-3.69510', '24.00']"
"['3.99', '3.13', '1.14', '4.91211', '-2.37542', '24.00']"
"['2.10', '8.50', '-8.74', '4.88281', '-3.16723', '24.00']"
"['-2.77', '-3.94', '-3.43', '4.84375', '-4.22297', '24.00']"
"['-0.21', '-5.65', '-1.60', '4.83398', '-4.48691', '24.00']"
"['5.58', '7.40', '-3.37', '4.88281', '-3.16723', '24.00']"
"['3.75', '10.14', '1.26', '4.86328', '-3.69510', '24.00']"
"['-4.36', '0.75', '1.99', '4.86328', '-3.69510', '24.00']"
"['-4.36', '-7.36', '3.34', '4.91211', '-2.37542', '24.00']"
"['6.01', '1.79', '2.05', '4.88281', '-3.16723', '24.00']"
"['4.42', '7.09', '1.69', '4.90234', '-2.63936', '24.00']"
"['1.49', '3.25', '-1.91', '4.86328', '-3.69510', '24.00']"
"['-6.13', '-4.80', '1.45', '4.86328', '-3.69510', '24.00']"
"['-0.09', '1.36', '3.64', '4.83398', '-4.48691', '24.00']"
"['-1.62', '-7.54', '-1.42', '4.89258', '-2.90329', '24.00']"
"['8.93', '12.03', '-3.74', '4.86328', '-3.69510', '24.00']"
"['1.19', '0.08', '-3.98', '4.89258', '-2.90329', '24.00']"
"['2.65', '6.42', '-0.93', '4.90234', '-2.63936', '24.00']"
"['-8.02', '-6.14', '1.57', '4.86328', '-3.69510', '24.00']"
"['-7.65', '-11.93', '2.48', '4.90234', '-2.63936', '24.00']"
"['-3.81', '-6.20', '0.77', '4.86328', '-3.69510', '24.00']"
"['3.87', '-2.85', '-3.01', '4.90234', '-2.63936', '24.00']"
"['3.26', '0.08', '2.85', '4.92187', '-2.11149', '24.00']"
"['1.86', '3.13', '-1.18', '4.88281', '-3.16723', '24.00']"
"['-3.75', '-0.71', '0.84', '4.90234', '-2.63936', '24.00']"
"['-2.16', '0.33', '0.23', '4.89258', '-2.90329', '24.00']"
"['-1.80', '-4.00', '2.60', '4.89258', '-2.90329', '24.00']"
"['2.71', '4.78', '1.14', '4.84375', '-4.22297', '24.00']"
"['11.68', '16.48', '-1.60', '4.88281', '-3.16723', '24.00']"
"['1.68', '7.70', '-0.99', '4.86328', '-3.69510', '24.00']"
"['-4.79', '-0.77', '-0.99', '4.90234', '-2.63936', '24.00']"
"['-0.88', '-3.58', '-2.09', '4.86328', '-3.69510', '24.00']"
"['8.14', '11.97', '4.80', '4.92187', '-2.11149', '24.00']"
"['-2.77', '-3.39', '0.65', '4.86328', '-3.69510', '24.00']"
"['7.47', '8.98', '0.71', '4.89258', '-2.90329', '24.00']"
"['-4.54', '-7.48', '-2.64', '4.92187', '-2.11149', '24.00']"
"['3.81', '4.05', '0.10', '4.89258', '-2.90329', '25.00']"
"['-3.63', '-3.39', '3.09', '4.84375', '-4.22297', '24.00']"
"['6.80', '6.55', '-0.02', '4.91211', '-2.37542', '24.00']"
"['-0.27', '-1.69', '-0.51', '4.88281', '-3.16723', '24.00']"
"['4.18', '7.22', '-0.63', '4.84375', '-4.22297', '24.00']"
"['4.05', '-1.63', '3.03', '4.92187', '-2.11149', '24.00']"
"['-2.59', '2.70', '-0.69', '4.90234', '-2.63936', '24.00']"
"['6.92', '8.92', '-1.91', '4.87305', '-3.43117', '25.00']"
"['-3.32', '-5.77', '8.40', '4.87305', '-3.43117', '25.00']"
"['2.53', '7.58', '-0.32', '4.87305', '-3.43117', '25.00']"
"['5.82', '3.25', '-1.42', '4.86328', '-3.69510', '25.00']"
"['-5.64', '-8.03', '8.58', '4.86328', '-3.69510', '25.00']"
"['2.53', '3.25', '-2.09', '4.87305', '-3.43117', '25.00']"
"['5.15', '10.87', '0.16', '4.90234', '-2.63936', '25.00']"
"['-0.03', '2.70', '4.92', '4.89258', '-2.90329', '25.00']"
"['3.32', '5.69', '3.34', '4.89258', '-2.90329', '25.00']"
"['-0.52', '3.92', '0.47', '4.88281', '-3.16723', '25.00']"
"['-9.36', '-5.53', '-0.69', '4.86328', '-3.69510', '25.00']"
"['-3.69', '-1.38', '2.36', '4.88281', '-3.16723', '25.00']"
"['-5.46', '-6.08', '0.16', '4.88281', '-3.16723', '25.00']"
"['-0.76', '-1.56', '1.87', '4.89258', '-2.90329', '25.00']"
"['-1.25', '-4.74', '0.96', '4.88281', '-3.16723', '25.00']"
"['2.10', '-1.44', '-0.26', '4.88281', '-3.16723', '25.00']"
"['4.36', '4.35', '0.96', '4.83398', '-4.48691', '25.00']"
"['0.15', '-1.14', '-2.09', '4.93164', '-1.84755', '25.00']"
"['2.59', '6.24', '-1.97', '4.83398', '-4.48691', '25.00']"
"['-4.60', '-2.48', '0.29', '4.83398', '-4.48691', '25.00']"
"['-1.25', '-2.72', '3.82', '4.88281', '-3.16723', '25.00']"
"['-2.65', '-4.37', '-1.66', '4.85352', '-3.95904', '25.00']"
"['-3.08', '-5.95', '1.57', '4.90234', '-2.63936', '25.00']"
"['-4.48', '-9.25', '-1.97', '4.90234', '-2.63936', '25.00']"
"['3.26', '-1.02', '1.14', '4.89258', '-2.90329', '25.00']"
"['2.16', '6.18', '0.96', '4.92187', '-2.11149', '25.00']"
"['4.79', '7.09', '-6.30', '4.86328', '-3.69510', '25.00']"
"['4.97', '5.87', '-2.03', '4.84375', '-4.22297', '25.00']"
